sample;annotation
Волжский пекарь, Коломенский;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 27, 'I-BRAND')]
Вкуснотеевъ;[(1, 12, 'B-BRAND')]
Белёвский десерт;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
окей;[(1, 5, 'B-BRAND')]
KitKat;[(1, 7, 'B-BRAND')]
Русский Дар;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Мокшанский;[(1, 11, 'B-BRAND')]
Unilever;[(1, 9, 'B-BRAND')]
и Зимой и Летом;[(1, 1, 'B-BRAND'), (2, 6, 'I-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
Брауни;[(1, 7, 'B-BRAND')]
Red Devil;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Благо;[(1, 6, 'B-BRAND')]
ВкусВилл Active;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Ласка;[(1, 6, 'B-BRAND')]
Namų Restorano patiekalai;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 24, 'I-BRAND')]
Умный баланс;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Слово Мясника;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Fit & Joy;[(1, 3, 'B-BRAND'), (4, 4, 'I-BRAND'), (5, 8, 'I-BRAND')]
Азбука вкуса;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Муракинские горки;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
Парфэ Декор;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Сдобная Особа;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Золотой улов;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Мяснов;[(1, 7, 'B-BRAND')]
Северная Гавань;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
28 хлебзавод;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND')]
Штрудель&KO;[(1, 12, 'B-BRAND')]
Махеевь;[(1, 8, 'B-BRAND')]
Вечерний Екатеринбург;[(1, 8, 'B-BRAND'), (9, 21, 'I-BRAND')]
Gösser;[(1, 7, 'B-BRAND')]
Тверца;[(1, 7, 'B-BRAND')]
kikf555a;[(1, 9, 'B-BRAND')]
Хлеб Насущный;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Paulaner;[(1, 9, 'B-BRAND')]
ЗАО БКК Коломенский;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 18, 'I-BRAND')]
Fanta;[(1, 6, 'B-BRAND')]
Боцман;[(1, 7, 'B-BRAND')]
Arthur Bell & Sons;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND'), (11, 11, 'I-BRAND'), (12, 16, 'I-BRAND')]
Big company;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
PREBIO SWEET;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Балтийский деликатес;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
48 копеек;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
«Россия» — щедрая душа!;[(1, 8, 'B-BRAND'), (9, 9, 'I-BRAND'), (10, 15, 'I-BRAND'), (16, 21, 'I-BRAND')]
Дымка;[(1, 6, 'B-BRAND')]
рычал-су;[(1, 9, 'B-BRAND')]
Консерватория;[(1, 14, 'B-BRAND')]
Mix Bar;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Кинто;[(1, 6, 'B-BRAND')]
Pobeda;[(1, 7, 'B-BRAND')]
Зожики;[(1, 7, 'B-BRAND')]
Shotcorn;[(1, 9, 'B-BRAND')]
БКК;[(1, 4, 'B-BRAND')]
Aro;[(1, 4, 'B-BRAND')]
СМП традиции;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Кубанская Бурёнка;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Розумный выбор;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Волжанин;[(1, 9, 'B-BRAND')]
АО Бердский хлебокомбинат;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 24, 'I-BRAND')]
Epica;[(1, 6, 'B-BRAND')]
Усладов;[(1, 8, 'B-BRAND')]
ФрутоНЯНЯ;[(1, 10, 'B-BRAND')]
Просто постно;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Фрустайл;[(1, 9, 'B-BRAND')]
Gingaș;[(1, 7, 'B-BRAND')]
Баба Маня;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
«Ле Кафе» «Классик»,Ле Кафе,ООО «Штраус»,Штраус,Le Café;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 20, 'I-BRAND'), (21, 28, 'I-BRAND'), (29, 46, 'I-BRAND'), (47, 51, 'I-BRAND')]
Milkavita;[(1, 10, 'B-BRAND')]
Alibi;[(1, 6, 'B-BRAND')]
Доброфлот;[(1, 10, 'B-BRAND')]
Close des Ducs;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
пинно;[(1, 6, 'B-BRAND')]
Флотские;[(1, 9, 'B-BRAND')]
сибирская коллекция;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
CHICO RICO;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Гост;[(1, 5, 'B-BRAND')]
Drmax;[(1, 6, 'B-BRAND')]
Сибирская Коллекция;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
МясновЪ Ферма;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Бакалейный Стандарт;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
Aqua minerals;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Озера;[(1, 6, 'B-BRAND')]
Калинка;[(1, 8, 'B-BRAND')]
Снежок;[(1, 7, 'B-BRAND')]
О'кей;[(1, 6, 'B-BRAND')]
Muscle nut;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
BEAUTY BOMB;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
funny cat;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Snaq Fabriq;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Горячая Штучка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
GustoBello;[(1, 11, 'B-BRAND')]
Babushkina Krynka;[(1, 10, 'B-BRAND'), (11, 17, 'I-BRAND')]
Нижегородская;[(1, 14, 'B-BRAND')]
Лира,ЗАО «ЗРМ Бобровский»;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND'), (13, 24, 'I-BRAND')]
Свежая марка;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Палиева Н.И;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Unidan;[(1, 7, 'B-BRAND')]
Royal Canin;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Дарница;[(1, 8, 'B-BRAND')]
Grasso;[(1, 7, 'B-BRAND')]
Арсеньевская ферма;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
laFitole;[(1, 9, 'B-BRAND')]
Pūre;[(1, 5, 'B-BRAND')]
Фабрика хлеба;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
ООО Крекер;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Карачиха;[(1, 9, 'B-BRAND')]
Вологжанка;[(1, 11, 'B-BRAND')]
Ядрёна копоть;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
musler;[(1, 7, 'B-BRAND')]
Семейка ОЗБИ;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Pomsticks;[(1, 10, 'B-BRAND')]
ООО «РПК»;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Ego;[(1, 4, 'B-BRAND')]
Zero Soda;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Красная Цена;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Volkomolko;[(1, 11, 'B-BRAND')]
Любимая;[(1, 8, 'B-BRAND')]
Белпродукт;[(1, 11, 'B-BRAND')]
Золотой колобок;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
ФермерскоЕ подворье;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
Просто;[(1, 7, 'B-BRAND')]
4920;[(1, 5, 'B-BRAND')]
Magic Mess;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Хрустящий Картофель;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Любимый;[(1, 8, 'B-BRAND')]
донской табак;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Националь;[(1, 10, 'B-BRAND')]
Chesterfield;[(1, 13, 'B-BRAND')]
Impra tea;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Чистая Линия;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
SanMartin;[(1, 10, 'B-BRAND')]
Просто Азбука;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Кавказ-мясо;[(1, 12, 'B-BRAND')]
КИРИЕШКИ;[(1, 9, 'B-BRAND')]
Healthy Nation;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
ООО «Ухуд»;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Козельский;[(1, 11, 'B-BRAND')]
Вау Чоу;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
цезарь;[(1, 7, 'B-BRAND')]
Новые продукты;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
КАЛИФОРНИЯ;[(1, 11, 'B-BRAND')]
Mars, Snickers;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
Angel;[(1, 6, 'B-BRAND')]
Верховье;[(1, 9, 'B-BRAND')]
Leader del Gusto;[(1, 6, 'B-BRAND'), (7, 9, 'I-BRAND'), (10, 15, 'I-BRAND')]
Cook Chart Bakery;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 16, 'I-BRAND')]
ООО Кондитерская фабрика 'Волшебница';[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 22, 'I-BRAND'), (23, 35, 'I-BRAND')]
Hi эфко;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
Ежедень;[(1, 8, 'B-BRAND')]
Bonduelle;[(1, 10, 'B-BRAND')]
Летние традиции;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Danone,Данон;[(1, 13, 'B-BRAND')]
Морская радуга;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Кадряночка;[(1, 11, 'B-BRAND')]
Кузя Лакомкин;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
ssddddd;[(1, 8, 'B-BRAND')]
Таежный Тайник;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
шеф;[(1, 4, 'B-BRAND')]
Барон Де Лирондо VDCE;[(1, 5, 'B-BRAND'), (6, 7, 'I-BRAND'), (8, 14, 'I-BRAND'), (15, 19, 'I-BRAND')]
Evervess;[(1, 9, 'B-BRAND')]
Южные овощи;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Хлебный спас;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Магета;[(1, 7, 'B-BRAND')]
Макстори;[(1, 9, 'B-BRAND')]
ООО Кондитерская фабрика НЕВА;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 22, 'I-BRAND'), (23, 27, 'I-BRAND')]
bRand ice;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Белозорье;[(1, 10, 'B-BRAND')]
POWER ADE;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Алтайский бройлер.;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Сами Готовим;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Искренне Ваш;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
ХрустNUT;[(1, 9, 'B-BRAND')]
Laplandiya;[(1, 11, 'B-BRAND')]
Сканди;[(1, 7, 'B-BRAND')]
Ментос;[(1, 7, 'B-BRAND')]
завод АлешинА;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Cheetos, PepsiCo Inc.;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 20, 'I-BRAND')]
ЗАО ТДС;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Milken Mite;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Мармеладная сказка;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Кофетайм;[(1, 9, 'B-BRAND')]
Prosto;[(1, 7, 'B-BRAND')]
Спец мед защита;[(1, 4, 'B-BRAND'), (5, 7, 'I-BRAND'), (8, 14, 'I-BRAND')]
JelleBar;[(1, 9, 'B-BRAND')]
Первозданное;[(1, 13, 'B-BRAND')]
Proteinrex;[(1, 11, 'B-BRAND')]
Fry's;[(1, 6, 'B-BRAND')]
Gerber;[(1, 7, 'B-BRAND')]
Perek;[(1, 6, 'B-BRAND')]
Edelweiss;[(1, 10, 'B-BRAND')]
Schneller;[(1, 10, 'B-BRAND')]
Naturals lrenz;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Ley's;[(1, 6, 'B-BRAND')]
Despar, Spar;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
здрава;[(1, 7, 'B-BRAND')]
А7 Агро-Оренбургский Молочный Комбинат;[(1, 2, 'B-BRAND'), (3, 19, 'I-BRAND'), (20, 27, 'I-BRAND'), (28, 36, 'I-BRAND')]
sen soy Premium;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 14, 'I-BRAND')]
Мажитэль J7,ВБД;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Sun crisp;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Rolnik;[(1, 7, 'B-BRAND')]
Maltagliati;[(1, 12, 'B-BRAND')]
роял фуд;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Радово;[(1, 7, 'B-BRAND')]
Деликатеска;[(1, 12, 'B-BRAND')]
Пастухов;[(1, 9, 'B-BRAND')]
Paté Grand-Mere;[(1, 4, 'B-BRAND'), (5, 15, 'I-BRAND')]
ООО рязанская чаеразвесочная фабрика, Ашан;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 26, 'I-BRAND'), (27, 34, 'I-BRAND'), (35, 39, 'I-BRAND')]
Adams Chill;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Щедрый Год;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Светлогорье;[(1, 12, 'B-BRAND')]
БиоКонтур;[(1, 10, 'B-BRAND')]
Краснодарский Хлебзавод #6;[(1, 13, 'B-BRAND'), (14, 22, 'I-BRAND'), (23, 25, 'I-BRAND')]
Ярославский Бройлер;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Каждый День;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
WK UP;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND')]
Monarch;[(1, 8, 'B-BRAND')]
Hello;[(1, 6, 'B-BRAND')]
Wrigley's;[(1, 10, 'B-BRAND')]
тёплые-традиции;[(1, 16, 'B-BRAND')]
Brutto;[(1, 7, 'B-BRAND')]
АО Унагранде компани;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND'), (12, 19, 'I-BRAND')]
Stella Artois;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
україна;[(1, 8, 'B-BRAND')]
Gurmina;[(1, 8, 'B-BRAND')]
Perekrestok Market;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Ого!;[(1, 5, 'B-BRAND')]
Heladiv;[(1, 8, 'B-BRAND')]
Marinar;[(1, 8, 'B-BRAND')]
American Fresh;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Nestlé, San Pellegrino;[(1, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 21, 'I-BRAND')]
Агуша;[(1, 6, 'B-BRAND')]
Gambrinus;[(1, 10, 'B-BRAND')]
Гурман;[(1, 7, 'B-BRAND')]
Luxe protein;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Green idea;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Ādaži;[(1, 6, 'B-BRAND')]
Alpenmark;[(1, 10, 'B-BRAND')]
Варим Парим;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Stella di mare;[(1, 6, 'B-BRAND'), (7, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
Мясная губерния;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Аагаа;[(1, 6, 'B-BRAND')]
ХПП №1;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND')]
Медовый Край;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Black Monster,Monster,Monster Energy;[(1, 5, 'B-BRAND'), (6, 28, 'I-BRAND'), (29, 35, 'I-BRAND')]
Алтайская бурёнка;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Первый шоколатье;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
Snack APP;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
МВН Кондитерская фабрика;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND'), (16, 23, 'I-BRAND')]
Tondi;[(1, 6, 'B-BRAND')]
Milenko Jovanovic;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Великоросс;[(1, 11, 'B-BRAND')]
Киржачский молочный завод;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND'), (19, 24, 'I-BRAND')]
Calvé;[(1, 6, 'B-BRAND')]
Маркет;[(1, 7, 'B-BRAND')]
Волковская пивоварня;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Скайфуд;[(1, 8, 'B-BRAND')]
Twix;[(1, 5, 'B-BRAND')]
Кублей;[(1, 7, 'B-BRAND')]
Krutonoff;[(1, 10, 'B-BRAND')]
BUCHERON CHOCOLATE;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Kitcat;[(1, 7, 'B-BRAND')]
Традиции Севера;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Край каравай;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
noris;[(1, 6, 'B-BRAND')]
Молочная речка;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Multi Chips;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
российский;[(1, 11, 'B-BRAND')]
Nemoloko, АО  Сады Придонья;[(1, 9, 'B-BRAND'), (10, 11, 'I-BRAND'), (12, 15, 'I-BRAND'), (16, 24, 'I-BRAND')]
Село Молочное;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Calve;[(1, 6, 'B-BRAND')]
Буйский хлебокомбинат;[(1, 7, 'B-BRAND'), (8, 21, 'I-BRAND')]
Burn;[(1, 5, 'B-BRAND')]
Ярче!;[(1, 6, 'B-BRAND')]
bona aqua;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
ЗАО АТРУС;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Шишкин лес;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
KALINA;[(1, 7, 'B-BRAND')]
ИП Курёхина;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
Vinut;[(1, 6, 'B-BRAND')]
Missis Pickez, ZDRAVO FOOD;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 19, 'I-BRAND'), (20, 24, 'I-BRAND')]
Амурское раздолье;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
самокат;[(1, 8, 'B-BRAND')]
Пензенский хлебозавод № 2;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND'), (21, 21, 'I-BRAND'), (22, 23, 'I-BRAND')]
Маслобоево;[(1, 11, 'B-BRAND')]
Rama;[(1, 5, 'B-BRAND')]
Черёмушки;[(1, 10, 'B-BRAND')]
Макфа;[(1, 6, 'B-BRAND')]
Боровкова;[(1, 10, 'B-BRAND')]
Саф-левюр;[(1, 10, 'B-BRAND')]
Pure Protein;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Эконива Econiva;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Индия-мясо индейки.;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
Хорошее дело;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Тотемский маслозавод;[(1, 9, 'B-BRAND'), (10, 20, 'I-BRAND')]
Аннинское,Юг Руси;[(1, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
Löwenbräu;[(1, 10, 'B-BRAND')]
Santal;[(1, 7, 'B-BRAND')]
MIO Superfood;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Kinder;[(1, 7, 'B-BRAND')]
Kubuś;[(1, 6, 'B-BRAND')]
кировский;[(1, 10, 'B-BRAND')]
Крымское мороженое;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Радуга вкуса;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
HAME;[(1, 5, 'B-BRAND')]
Молочная легенда;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
DeOlio;[(1, 7, 'B-BRAND')]
Gallery;[(1, 8, 'B-BRAND')]
Генеральская рыбка;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Гордость Дома;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Perri;[(1, 6, 'B-BRAND')]
Васильевский хлебозавод;[(1, 12, 'B-BRAND'), (13, 23, 'I-BRAND')]
У Самовара;[(1, 1, 'B-BRAND'), (2, 10, 'I-BRAND')]
Остров специй;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
marinado;[(1, 9, 'B-BRAND')]
Главсуп;[(1, 8, 'B-BRAND')]
Gustafsen;[(1, 10, 'B-BRAND')]
Oyakata;[(1, 8, 'B-BRAND')]
Crown;[(1, 6, 'B-BRAND')]
ДВ Невада ООО ОП С-33;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND'), (9, 11, 'I-BRAND'), (12, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
Рыбоведов;[(1, 10, 'B-BRAND')]
Тиксы;[(1, 6, 'B-BRAND')]
Богородские хлеба;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
Агро-Альянс Классик,Агро-Альянс;[(1, 11, 'B-BRAND'), (12, 31, 'I-BRAND')]
DIPA SAS;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
EKO;[(1, 4, 'B-BRAND')]
BonaAqua, БонаАква;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Ламбер;[(1, 7, 'B-BRAND')]
Веган иваныч;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Vegan;[(1, 6, 'B-BRAND')]
Adrenaline Rush;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Вязанка;[(1, 8, 'B-BRAND')]
Viči, Любо есть;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
ЭМ,Арго;[(1, 8, 'B-BRAND')]
МЕРИДИАН;[(1, 9, 'B-BRAND')]
Море;[(1, 5, 'B-BRAND')]
Прошуто крудо матонелла;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 22, 'I-BRAND')]
Томсоя;[(1, 7, 'B-BRAND')]
жигулевское;[(1, 12, 'B-BRAND')]
Короли Сибири;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Ремит;[(1, 6, 'B-BRAND')]
Power Pro;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
КАлифорния;[(1, 11, 'B-BRAND')]
Yesta;[(1, 6, 'B-BRAND')]
uniCornetto, Инмарко;[(1, 12, 'B-BRAND'), (13, 20, 'I-BRAND')]
Стародворские пельмени;[(1, 13, 'B-BRAND'), (14, 22, 'I-BRAND')]
Конфи;[(1, 6, 'B-BRAND')]
Grand Di Pasta;[(1, 5, 'B-BRAND'), (6, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
Проаипсервис;[(1, 13, 'B-BRAND')]
Внуковское;[(1, 11, 'B-BRAND')]
Русский бисквит;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
HiPP;[(1, 5, 'B-BRAND')]
Mon Bon;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Высший вкус;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Шкловский Молочник;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Солерамичи;[(1, 11, 'B-BRAND')]
albert;[(1, 7, 'B-BRAND')]
PREMIERE of TASTE;[(1, 8, 'B-BRAND'), (9, 10, 'I-BRAND'), (11, 16, 'I-BRAND')]
FOOTexpert;[(1, 11, 'B-BRAND')]
Реади;[(1, 6, 'B-BRAND')]
SPAR;[(1, 5, 'B-BRAND')]
Б.Ю.Александров;[(1, 16, 'B-BRAND')]
Добрые Печеньки;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
ООО Галка;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Belyov Pastila;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
ООО Свежий Хлеб;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
ANCHOR;[(1, 7, 'B-BRAND')]
Pilos;[(1, 6, 'B-BRAND')]
Bionova;[(1, 8, 'B-BRAND')]
Даллас,ООО «Агроторг»;[(1, 10, 'B-BRAND'), (11, 21, 'I-BRAND')]
Arla;[(1, 5, 'B-BRAND')]
Dr max;[(1, 2, 'B-BRAND'), (3, 6, 'I-BRAND')]
Симфония веуса;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Bona Vita;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Lay's,Lay's Chips,Lay's Chips Cream&Dill,Lay's Chips Cream&Dill 215g;[(1, 11, 'B-BRAND'), (12, 22, 'I-BRAND'), (23, 27, 'I-BRAND'), (28, 43, 'I-BRAND'), (44, 48, 'I-BRAND'), (49, 58, 'I-BRAND'), (59, 63, 'I-BRAND')]
Добрый, Добрый Мультифрукт, Мультифрукт;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND'), (14, 25, 'I-BRAND'), (26, 37, 'I-BRAND')]
Нижегородский хлеб;[(1, 13, 'B-BRAND'), (14, 18, 'I-BRAND')]
Благодар;[(1, 9, 'B-BRAND')]
ООО Лебединский;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Дюжий двор;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Золотой стандарт;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Леса поля;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
